ID,Gender,Status,Children,Age,Customer_Status,Car_Owner,Customer_Service,Satisfaction,Business_Area,Action
2944,Female,M,2,41.92,Active,No,Customer service was friendly and helpful.,1,Service: Knowledge,
1119,Female,M,2,33.6,Active,Yes,Customer service was good at MSP airport and the process was very fast.  From getting off of the plane to leaving with my rental car was less than 45 minutes.,1,Service: Knowledge,
0,Male,M,0,51.0,Inactive,Yes,I do not  understand why I have to pay additional fee if vehicle is returned without a full tank.,0,Product: Pricing and Billing,Premium features
1085,Female,S,2,42.0,Inactive,No,"Based on the customer service personnel I encountered most recently, I would say it is vastly preferable for the personnel to be able to at least pretend to care whether the customer ever actually receives a car rental that was reserved months in advance.",0,Service: Attitude,On-demand pickup location
0,Female,M,2,44.1,Active,No,Provide more convenient car pickup from the airport parking.,0,Service: Orders/Contracts,On-demand pickup location
0,Female,M,0,46.51,Inactive,No,"all went quite without hassle, they picked me up to get the car it was great.",1,Service: Accessibility,
0,Female,M,2,44.03,Active,No,VERY slow service!,0,Service: Accessibility,Free Upgrade
3327,Male,D,0,32.85,Active,No,Its nice when you get in your car and it has already been started up with the A/C or heating going.,1,Product: Functioning,
0,Male,S,2,20.4,Inactive,No,They could really try work harder.,0,Service: Attitude,Free Upgrade
0,Female,S,2,40.5,Inactive,No,"I would like the personnel to pretend they care about customer, at least.",0,Service: Attitude,On-demand pickup location
2611,Female,S,2,56.19,Inactive,No,"Customer Service is great since you don't have to deal with any people, per se.  The car is ready and waiting for you and the shuttle just drops you off to it.",1,Service: Knowledge,
2672,Male,M,1,54.96,Active,Yes,Customer service went out of their way to provide a car that would fit our needs,1,Service: Knowledge,
1361,Male,M,0,15.38,Inactive,Yes,they were trying to satisfy me even though my wife tells me I was being rude,1,Product: Functioning,
0,Male,M,1,52.1,Active,Yes,We got our car very quickly.,1,Service: Orders/Contracts,
2117,Male,M,1,52.15,Inactive,No,long lines moved quickly,1,Product: Functioning,
3712,Male,M,0,54.01,Active,No,"I did everything on-line - never talked to an agent during booking.  There were no problems, even though I had to switch car sizes after initial reservation. Agent on duty for pick-up was courteous.",1,Service: Knowledge,
2501,Female,M,1,63.93,Inactive,No,"The customer service agent was helpful, but I find that providing all of the information to the agent takes too long.  It would be nice if I could provide all of the information to the agent prior to coming the rental place.",0,Product: Functioning,On-demand pickup location
1499,Male,M,2,49.99,Inactive,No,"We had a small problem with the size of car we reserved being available. The company was able to send another car over from a different location. We were delayed in getting on the road, but were satisfied with the car.",1,Product: Functioning,
1190,Female,M,1,52.15,Inactive,No,"I had to wait in line for a long time to get and return the vehicle.  Also, the car was not clean.",0,Product: Functioning,Voucher
2312,Male,S,2,53.28,Inactive,No,It was absolutely ATROCIOUS! My wife and I were in a foreign country  when we realized that our car had an expired license plate and expired proof of insurance!,0,Product: Functioning,Voucher
2992,Male,M,2,16.7,Active,No,"Very nice, free upgrade",1,Product: Functioning,
1360,Female,S,0,48.53,Active,Yes,they should not try so hard to up sell,0,Service: Attitude,Free Upgrade
2485,Female,M,2,30.89,Active,No,They were friendly and helpful enough.,1,Service: Knowledge,
1897,Male,M,1,46.83,Inactive,Yes,long lines waiting for the rental pick.,0,Product: Functioning,On-demand pickup location
690,Male,M,2,51.52,Active,Yes,"We needed a minivan on very short notice to drive out of town to a funeral.  Enterprise staff worked hard to find us one, and they did. We smashed the car into a parking garage pole.  Since we had purchased the comprehensive insurance we didn't have to go through all of the B.S.",1,Product: Functioning,
2855,Male,S,2,21.78,Inactive,No,"I guess it really DOES ""try harder.""",1,Service: Attitude,
956,Male,S,0,20.0,Inactive,No,Experience was fine,1,Service: Knowledge,
191,Male,M,0,45.51,Inactive,Yes,what customer service? It was a nightmare,0,Service: Knowledge,Voucher
2601,Female,S,1,53.12,Active,Yes,People were nice.  Service was fast.,1,Service: Knowledge,
3315,Male,S,1,24.39,Inactive,No,"Well since I used to work for a car rental company and at the time I rented I was still working with the company, I was treated with nothing but respect and received a free upgrade as well.",1,Product: Functioning,
398,Female,S,1,57.55,Inactive,No,"""sorely lacking""  helpdesk was not much helpfull",0,Service: Knowledge,Voucher
247,Male,M,0,44.0,Inactive,No,"delayed shuttle, almost missed flight, bad customer service",0,Product: Functioning,Free Upgrade
18,Male,M,1,64.8,Active,No,The rental car guy was cute.,1,Service: Attitude,
1171,Male,S,0,38.73,Active,No,I would like the reps be knowledgeable about the immediate area around the rental agency and or have maps for the area available free of charge.,0,Product: Functioning,Premium features
1492,Male,S,0,32.0,Active,No,customer service was OK,1,Service: Knowledge,
1166,Male,M,2,46.84,Active,No,"I was happy that we arrived very late and there was still a live person to help us get our rental.  We had no problems with the car, and returned it easily.",1,Service: Accessibility,
1779,Female,M,1,62.0,Active,Yes,They were very good and took care of what I needed. Very quick.,1,Service: Knowledge,
2236,Male,S,0,21.0,Inactive,No,Everyone was very friendly. They even drove us to the airport since we were running late for our flight.,1,Service: Knowledge,
0,Male,D,1,33.0,Active,No,Did not have some problems. My car was not ready on time.,0,Service: Accessibility,Free Upgrade
0,Male,M,2,50.1,Active,No,"We dealt with customer service at car pick-up place, and drive off in few minutes.",1,Service: Orders/Contracts,
1757,Male,M,1,47.85,Active,No,they were extremely helpful and did whatever they could to help us.,1,Product: Functioning,
2574,Male,S,1,43.91,Active,Yes,customer service was OK,1,Service: Knowledge,
0,Female,M,2,43.0,Inactive,Yes,"Initially the representative handled the situation badly.  No car was available, even next day.  Then the rep helped to find us a car in another agency.",0,Product: Availability/Variety/Size,Free Upgrade
3135,Female,S,0,42.0,Active,No,"My last experience was  seamless.  The only thing I didn't like was having to fill the tank with gas before turning it in.  It was inconvenient, but I didn't want to pay the hefty fill-up charge to the rental company.",1,Product: Pricing and Billing,
1087,Female,M,2,34.32,Inactive,No,Everything was great.  The line was a little long to get the car but it was a good experience.,1,Product: Functioning,
375,Female,M,2,49.05,Active,Yes,adequate to the price. It was fine,1,Service: Knowledge,
3699,Male,M,2,61.71,Inactive,Yes,"It would be nice if they included maps to the airport drop off with the car, last time we got lost returning the car and almost missed the flight.  There was nothing on the exit that indicated rental returns.  Actually the one I really liked, was when we",0,Product: Information,Premium features
3236,Male,M,2,16.7,Active,No,it was fine.,1,Service: Knowledge,
1782,Female,S,2,43.0,Active,Yes,The customer service people were very nice.  During my vacation I locked my keys in the car.  The rental company sent someone out with a new set of keys to unlock the car.,1,Service: Knowledge,
1760,Male,M,0,42.17,Inactive,No,"States have different rules and regulations pertaining to speed, radar detectors, even when light should be on.  Customer services reps should have a handout or be knowledgeable of a particular state's laws.",0,Service: Knowledge,Premium features
1229,Female,M,0,12.34,Inactive,No,price too high and location off premise too far,0,Product: Pricing and Billing,On-demand pickup location
3301,Female,S,0,46.0,Active,No,"They were great as far as I could tell, they explained what needed to be done to use the University pricing.",1,Service: Knowledge,
2570,Male,M,0,64.8,Active,No,No problems,1,Service: Knowledge,
3716,Male,M,2,61.71,Inactive,Yes,The company was overwhelmed by the number of customers verse the number of available agents and they were not articulating their situation to the customers well enough. I think we waited for almost 3 hours just to get a rental car. It was ridiculous.,0,Service: Orders/Contracts,On-demand pickup location
1545,Male,S,1,14.64,Active,Yes,None I  rarely rent cars,1,Product: Functioning,
0,Male,M,1,66.2,Active,No,The rental car person was impertinent.,1,Service: Attitude,
2820,Female,M,2,26.03,Active,No,"Our customer service representative was polite and well-dressed. He smiled appropriately and answered my questions, not from a rehearsed script, but from his own frame of reference. He shirt was neatly pressed and his hair was professionally coifed.",1,Service: Knowledge,
0,Female,M,0,14.23,Inactive,No,Even economy class cars are too expensive.,0,Product: Pricing and Billing,On-demand pickup location
1333,Male,S,0,16.06,Inactive,No,"Employees had nice, new uniforms.",1,Service: Knowledge,
3411,Male,M,1,58.71,Inactive,Yes,"customer service was great until we returned the car.  I experienced an issue with damage to the car, and felt that things were left unanswered and still waiting for a response from them.",0,Service: Knowledge,Premium features
3556,Female,M,2,43.0,Active,No,"Very good. willing to drop me off and pick me up from location, upgraded me to higher level due to availability",1,Product: Functioning,
3077,Male,M,2,18.84,Active,No,The customer service was very friendly and knowledgeable.  She suggested to upgrade to the SUV and it worked out much better for our trip.,1,Service: Knowledge,
1672,Male,M,2,52.63,Active,No,they were very nice and willing to help in any way they could,1,Service: Knowledge,
2410,Male,M,1,47.85,Active,No,It was not as bad as it usually is.,1,Product: Functioning,
1307,Female,M,0,55.0,Inactive,No,"I have had a few recent rentals that have taken a very very long time, with no offer of apology.  In the most recent case, the agent subsequently offered me a car type on an upgrade coupon and then told me it was no longer available because it had just be",0,Product: Availability/Variety/Size,Voucher
0,Female,M,0,16.1,Inactive,No,price TOO HIGH and off premise location is NOT convenient.,0,Product: Pricing and Billing,On-demand pickup location
0,Male,M,1,35.1,Active,Yes,Guys were extremely nice.,1,Service: Attitude,
45,Male,S,2,53.28,Inactive,No,"It was good, got the car we wanted without much of a wait in picking up and dropping off",1,Service: Knowledge,
488,Female,S,2,55.0,Active,No,The car rental company that I went with had very good customer service. They were out of a certain car I reserved and gave me a upgrade and apologized.,1,Service: Knowledge,
3806,Male,S,1,14.64,Active,Yes,Having knowledgeable personnel is very important,0,Service: Knowledge,Voucher
3676,Female,M,2,41.92,Active,No,"The service I have is always good, I have used the same company for many years and I know the counter personnel personally.  It is always good to know that they are willing to help you in any situation. ",1,Service: Knowledge,
2659,Female,M,1,43.0,Active,Yes,"For leisure/vacation, I have never personally rented the car.  I have always left that up to my significant other and she did not complain to use this company",1,Service: Orders/Contracts,
1309,Female,M,0,55.97,Active,No,"friendly, but could not making any decisions on own",0,Service: Knowledge,Premium features
11,Male,S,2,56.47,Active,No,If there was not a desired vehicle available the reps explored all options including competitors to assist in finding an available vehicle. This level of service brought me back not to their competitor but the company as this reflects on their overall quality.,1,Product: Availability/Variety/Size,
2654,Male,M,1,47.85,Active,No,Customer service was fine,1,Service: Knowledge,
2341,Male,M,2,18.77,Active,No,"it seems that they never have the class of car that I ordered.  also, the last time I got there earlier than I thought and they wouldn't let me have the car until the time that I had requested it because their computer wouldn't allow it.",0,Product: Functioning,Free Upgrade
772,Female,M,2,39.75,Active,Yes,They were too pushy in trying to sell insurance.,0,Product: Functioning,Free Upgrade
2230,Female,M,2,48.21,Active,No,"Anywhere you go you will find good customer service and bad customer service.  Since I have rented so many cars, there have been too many experiences to recall so I can't say anything definitely bad",1,Product: Functioning,
0,Female,S,0,45.0,Active,No,"My experience up to date was  good.  It was inconvenient to return car clean, but I had to pay the hefty charge for rental.",1,Product: Pricing and Billing,
2185,Female,M,1,64.64,Active,No,They had the class of car that I ordered.,1,Product: Functioning,
2558,Male,S,0,55.11,Inactive,No,Customer Service at Alamo was RUDE. We waited in line for over an hour to get our car. Car was bad. Had to change it few days later. Another family traveling with us was upgraded to a larger car as they were out of the type of car booked.,0,Product: Functioning,Free Upgrade
36,Female,S,1,62.79,Inactive,Yes,They were idiots.  The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.,0,Product: Functioning,Free Upgrade
2109,Male,M,2,25.03,Active,Yes,No suggestions.  Customer Service was good.,1,Service: Knowledge,
0,Male,M,2,65.2,Inactive,Yes,I had to pay more because of some hidden fees. It disappointed me.,0,Product: Availability/Variety/Size,Free Upgrade
3420,Female,M,2,41.0,Active,No,service was good.,1,Service: Knowledge,
1069,Male,S,2,53.28,Inactive,No,they could not provide driving directions,0,Service: Knowledge,Premium features
1350,Male,M,1,52.27,Inactive,Yes,I thought that they were very short and not very friendly. I felt like they hated their job and could care less about the customer.,0,Product: Functioning,Voucher
3785,Male,S,1,17.01,Inactive,Yes,The car should have been brought to us instead of us trying to find it in the lot.,0,Product: Information,On-demand pickup location
2144,Male,M,2,22.88,Active,Yes,Service was fast. Car was parked close-by.,1,Service: Accessibility,
239,Male,M,1,46.0,Inactive,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.,0,Product: Availability/Variety/Size,Free Upgrade
1246,Female,S,0,46.0,Inactive,No,"Had problems with windshield wipers that affected usability.  Problem was not solved.  Customer service was NOT helpful. Because of franchising, I was not able to get help from an office other than the one I rented from.  I had driven 60 miles from that location and there was another location 2 miles from where I was staying.",0,Product: Functioning,Free Upgrade
0,Male,S,2,54.34,Active,No,Although there were no available car in category stuff assisted in finding an available vehicle.,1,Product: Availability/Variety/Size,
140,Female,S,0,36.92,Inactive,No,Everyone was very helpful.  The car was ready for me on time and I didn't have to wait a long time at the counter.,1,Product: Functioning,
1127,Male,M,0,21.38,Active,No,no complaints,1,Service: Knowledge,
2247,Female,M,2,31.13,Active,Yes,All the people I dealt with were pleasant and helpful.,1,Service: Knowledge,
1379,Female,S,2,36.68,Inactive,Yes,"You need more staff to accommodate travelers who are in a hurry. Specifically, cut down the wait time to either retrieve or turn in a rental car.",0,Product: Functioning,On-demand pickup location
626,Female,S,2,41.67,Inactive,No,"The only unpleasant aspects of interacting with personnel from the company was having to wait in a long line since most windows were closed. Also, they tried really hard to sell additional insurance coverage which was obnoxious.",0,Product: Functioning,Free Upgrade
1148,Male,M,2,18.77,Inactive,No,they were a little slow,0,Product: Functioning,Premium features
3387,Male,M,2,51.52,Active,Yes, The service was polite and professional. I was attended to quickly and courteously.,1,Service: Knowledge,
0,Male,S,1,53.04,Inactive,No,Please back to lower the prices.,0,Product: Pricing and Billing,Free Upgrade
